dataset,method,intensity,model,cer,wer,cer_lower,wer_lower
iam,none,none,microsoft/trocr-base-handwritten,0.04855273213603362,0.11865648619466296,0.046761559037065345,0.11248650316211631
rimes,none,none,microsoft/trocr-base-handwritten,0.2461372721344938,0.8077673346338003,0.24106256910384713,0.7992551870899096
iam,awgn,50,microsoft/trocr-base-handwritten,0.05046331677493313,0.12251272559000463,0.04868806521462234,0.11638130495141139
iam,awgn,100,microsoft/trocr-base-handwritten,0.07289676474334479,0.157720191269474,0.07076327856324036,0.1507403979639056
iam,awgn,150,microsoft/trocr-base-handwritten,0.11816965991593427,0.22019126947400894,0.11582919373328239,0.21355853771402128
iam,awgn,200,microsoft/trocr-base-handwritten,0.20375589096930327,0.32866728366496994,0.2008024455483378,0.32157180317754125
iam,awgn,250,microsoft/trocr-base-handwritten,0.30141064832505415,0.4509871972852075,0.29781238058846005,0.4431975937066173
iam,blur,1.0,microsoft/trocr-base-handwritten,0.04986625907527704,0.12093166743791454,0.04805916443765126,0.11456887243560081
iam,blur,2.0,microsoft/trocr-base-handwritten,0.055972169150426694,0.13111213944161654,0.054149152974143425,0.12532778034860403
iam,blur,3.0,microsoft/trocr-base-handwritten,0.07639154247866514,0.16427579824155483,0.07436950706916316,0.15787444084528768
iam,blur,4.0,microsoft/trocr-base-handwritten,0.13166316392816202,0.24205614684559618,0.1291873646669214,0.23511491593398118
iam,blur,5.0,microsoft/trocr-base-handwritten,0.248105336899758,0.38323307110905447,0.24500859763087504,0.37687027610674073
iam,jpeg_compression,10,microsoft/trocr-base-handwritten,0.04971500445803082,0.12089310504396113,0.047891988281747545,0.11472312201141446
iam,jpeg_compression,6,microsoft/trocr-base-handwritten,0.05153005986498535,0.12390097177232763,0.04971500445803082,0.11773098873978097
iam,jpeg_compression,3,microsoft/trocr-base-handwritten,0.05907686918863839,0.1372821224741632,0.0571025983951089,0.13118926422952337
iam,jpeg_compression,1,microsoft/trocr-base-handwritten,0.06447427079352949,0.14511028844670676,0.06257164692395874,0.13909455498997378
iam,downscale,0.4,microsoft/trocr-base-handwritten,0.051474334479684115,0.12494215640906987,0.0496115144567571,0.11877217337652321
